question,document
How do I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to make each vector in a Pandas Series unit length?,5039707c1a
Can I use numpy.linalg.norm to normalize vectors inside a DataFrame column?,5039707c1a
How would I create a new column with normalized versions of the vectors from another column?,5039707c1a
Is there a simple apply-based way to normalize vectors in pandas without looping manually?,5039707c1a
How do I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to calculate a quantile for one column?,b4c8ac5a0c
How can I find the 0.75 quantile of a Series in Pandas?,b4c8ac5a0c
Is there a simple function to compute percentiles in a DataFrame column?,b4c8ac5a0c
How do I use Pandas to return the 75% percentile value?,b4c8ac5a0c
"How do I wipe all Docker containers, including the ones still running, from the terminal?",66ccbb7da0
What command should I use to force remove every Docker image on my machine?,66ccbb7da0
How can I delete all Docker volumes with a single terminal command?,66ccbb7da0
"Is there a quick way to clean up every container, image, and volume in Docker at once?",66ccbb7da0
"What’s the terminal command for removing all Docker stuff: containers, images, and volumes?",66ccbb7da0
How can I make sure a user can only vote once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to True after I click a feedback button?,2e729f1271
How do I disable the feedback buttons after the ask button is used in my Streamlit app?,2e729f1271
Is there a fix for Streamlit session state being reassigned when feedback is submitted?,2e729f1271
Where can I find the solution for the `st.session.submitted` issue in Streamlit Discuss?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when starting my app with docker-compose, even though it works locally?",e8df9f0d12
What am I missing if docker-compose fails with `unable to start container process` and says it can’t find `streamlit`?,e8df9f0d12
How do I fix the Docker error where a Streamlit app runs outside containers but crashes when I use docker-compose?,e8df9f0d12
"Do I need a Dockerfile for a Streamlit app before running it with docker-compose, or is compose enough?",e8df9f0d12
"After adding Streamlit to docker-compose, what’s the right way to rebuild and launch the containers so the app starts correctly?",e8df9f0d12
"Is the capstone project supposed to be done solo, or can we do it as a team?",0fab61eca2
Can I discuss the capstone idea with other students and still submit my own project?,0fab61eca2
"If two people work on the same system, is that allowed for the capstone?",0fab61eca2
How does the project need to be split if more than one student is involved?,0fab61eca2
What happens if my capstone submission can’t be graded separately from someone else’s work?,0fab61eca2
"Do we need to turn in two capstone projects, or is one enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first project submission doesn’t pass, can I fix it and submit again later?",d5fc98925d
"Can I submit two projects just to try different ideas, and if so do they need different datasets and problem statements?",d5fc98925d
What happens if I miss the attempt 1 deadline but still want to complete the capstone submission?,d5fc98925d
Does joining the competition count as doing the capstone project?,e892d44e42
Can I use the math-kaggle-llm competition as my capstone instead of the individual project?,e892d44e42
Are we allowed to do the capstone in teams if we join the competition?,e892d44e42
"If I join the Kaggle competition, does that replace the capstone requirement?",e892d44e42
Is the capstone project supposed to be individual even if I participate in the competition?,e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
"Who reviews the capstone submission, and how many reviewers are there?",9a2e2d2008
Do I also need to review other students' projects for the capstone?,9a2e2d2008
What happens if I don’t do the required peer reviews for the project?,9a2e2d2008
How is the final score calculated from the reviewers’ grades?,9a2e2d2008
"Once the deadline is over, how do we get the projects we need to review or grade?",eae0fb50aa
Will there be some kind of sheet or list with our assigned capstone projects after submissions close?,eae0fb50aa
How many projects does each participant get assigned for review after the submission deadline?,eae0fb50aa
"Do we choose the projects ourselves, or are they assigned automatically once the deadline passes?",eae0fb50aa
What happens after the capstone submission deadline in terms of grading assignments?,eae0fb50aa
"I already turned in my project, so why am I not seeing anything to review yet?",a8a7fef016
"After the deadline passes, how do the projects get assigned for evaluation?",a8a7fef016
"Can I pick which projects I want to review, or is that decided for me?",a8a7fef016
Why is there nothing to evaluate before the project list is released?,a8a7fef016
I submitted my capstone already — when am I actually supposed to start reviewing other projects?,a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with suggested datasets I can use for the project?,e76a70cde3
"Do you have a link with ideas, datasets, and guidelines for the capstone project?",e76a70cde3
I'm stuck on choosing a project topic — where can I find some options and tips?,e76a70cde3
Where can I find project suggestions and data sources for the LLM Zoomcamp capstone?,e76a70cde3
"For the capstone project, do I really need to use Airflow, Mage, or Kestra, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion part as a Jupyter notebook instead of a script, how many points can I get for that criterion?",d4f7c08ea1
Is it okay to skip an orchestration tool in the project and still get full marks for ingestion?,d4f7c08ea1
When would it actually make sense to use an orchestrator in the capstone instead of just writing a script?,d4f7c08ea1
Can I get full credit for the ingestion pipeline without setting up a full workflow tool?,d4f7c08ea1
How can I test a recommender-style RAG when I don’t have a clear ground truth answer for each query?,9b0e2d6a47
What’s the best way to create synthetic evaluation data for a RAG system that recommends items instead of answering questions?,9b0e2d6a47
"Can I use an LLM to judge the quality of my RAG outputs, and how should I set that up?",9b0e2d6a47
"For a ranking task, should I measure hit rate or NDCG, and why would one be better than the other?",9b0e2d6a47
What metrics make sense for evaluating retrieval if multiple items could be acceptable results?,9b0e2d6a47
"What chunking approach should I start with for a really big PDF corpus, and how should I check if it works?",6f2a8b3d10
Is it better to use fixed-size chunks or try to split documents by meaning right away?,6f2a8b3d10
"How can LLM-generated summaries help with indexing long documents, and should they go in the same index?",6f2a8b3d10
"For legal or financial docs with lots of exact wording, is dense search enough or should I mix in BM25?",6f2a8b3d10
Are there any good tools for turning PDFs into cleaner markdown before I chunk them?,6f2a8b3d10
"What does reproducibility mean for my capstone project, and do reviewers need my API keys?",e5d8a2c761
Should I ever put hosted-service credentials or API keys in the repo for the review?,e5d8a2c761
How can I let someone clone the project and rebuild the search index from scratch on their own?,e5d8a2c761
"What should go into the .env.example file, and where should the real .env be kept?",e5d8a2c761
What do I need to pin or document so the project can be run again later without issues?,e5d8a2c761
"Is it okay to do the homework and capstone in JavaScript or another non-Python language, or should I stick to Python?",ea815eb858
"If I build my project with Go, Rust, Java, or something else instead of Python, will that be accepted?",ea815eb858
Why does the course seem to prefer Python for every assignment and the final project?,ea815eb858
What kind of setup instructions do I need to include if I submit a project in a language other than Python?,ea815eb858
"If I use a non-Python stack, what should I put in the README so the reviewer can run it on Windows, macOS, and Linux?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with older LLM Zoomcamp projects I can browse for ideas?,930286278d
Can I check previous student project repos for the LLM Zoomcamp capstone somewhere?,930286278d
Do you have links to the 2024 and 2025 LLM Zoomcamp project examples?,930286278d
How can I find out what kind of scope and quality the capstone projects usually have?,930286278d
"Do I need to reserve my capstone project idea before I start, or can I just begin working on it?",897a350476
Is there any step to announce my project topic ahead of time for the capstone?,897a350476
"Can I ask in Slack if I want feedback on my project idea, or is that not necessary?",897a350476
"Is it okay if my capstone topic is similar to a past project, as long as I build it myself?",897a350476
Where can I look at examples of previous LLM Zoomcamp projects to get a sense of the scope?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use something like a CLI or Slack app?",7318a90b14
"Do I have to follow a specific interface format for the capstone, or can I choose whatever works best?",7318a90b14
"Will the course show how to create Telegram, WhatsApp, or other user interfaces for the project?",7318a90b14
"If I use a different interface for the project, is that okay as long as it still meets the evaluation rules?",7318a90b14
What’s the best tool to pull text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned and don’t have a text layer, what should I use for OCR?",d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured for document extraction in the capstone?",d8b28c47a0
Is there a recommended library for turning PDFs into Markdown or JSON for RAG?,d8b28c47a0
"Do I have to follow a specific extractor in the course, or can I choose whatever works on my files?",d8b28c47a0
"Can I use the workshop stuff in my own capstone project, or is that not allowed?",d850a0e7ea
Is it okay to reuse the dlt workshop content for another project outside this workshop?,d850a0e7ea
Could I apply what I learned here to an MLOps Zoomcamp project too?,d850a0e7ea
"Since dlt is open source, does that mean I can use it directly in my projects?",d850a0e7ea
"If I have questions while using the workshop materials in my own work, can I ask about that?",d850a0e7ea
How do I create a new dlt project for loading files from cloud storage?,6bceeebf04
What command should I run to initialize a dlt project with filesystem and DuckDB?,6bceeebf04
How do I start a fresh dlt setup for a cloud data load?,6bceeebf04
Is there a dlt init command I can use to begin a filesystem to DuckDB pipeline?,6bceeebf04
Where should I look for the setup steps after running dlt init filesystem duckdb?,6bceeebf04
"Why am I getting `Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"What does it usually mean if the notebook says I need to call `db.create_table(notion_pages___homework, data)` first?",0407213397
"I renamed the table to `homework`, but the pipeline still fails opening `notion_pages___homework` — what am I missing?",0407213397
Could this error be caused by leftover `employee_handbook` names somewhere in my dlt pipeline config?,0407213397
Where should I check if some `employee_handbook` references were not changed to `homework`?,0407213397
Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main()?,e95bfafc0e
"In the dlt workshop, what table name should I open in line 3 if the notebook says the table doesn't exist?",e95bfafc0e
"How do I fix the error where db.create_table(notion_pages___homework, data) is requested before running main()?",e95bfafc0e
What should dbtable be set to for the notion homework table in the open-source data ingestion workshop?,e95bfafc0e
My Notion pages homework table isn't found — what exact db.open_table call should I use?,e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
Is there a way to list all the db tables quickly?,e394e6f738
What method should I use to get the names of all tables?,e394e6f738
How do I check which tables were created in the database?,e394e6f738
Can I print out the table names from the database somehow?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or not yet?",cd19f122f3
Is there any built-in way to connect dlt with ClickHouse?,cd19f122f3
"Can I use dlt with StarRocks today, or do I need a custom solution?",cd19f122f3
Why doesn’t dlt have connectors for ClickHouse or StarRocks yet?,cd19f122f3
Can the community add ClickHouse and StarRocks connectors to dlt?,cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion search endpoint?,0dfba07ace
What should I check if the notebook says it doesn’t have secret access for the Notion API?,0dfba07ace
"Could this Notion API error be caused by a bad or expired token, and how do I fix it?",0dfba07ace
Is there a specific endpoint or permission setup I need for the notebook to access Notion search?,0dfba07ace
What access/config settings should I verify when the notebook fails with a Notion authorization error?,0dfba07ace
How do I install the exact requests version from GitHub if pip keeps giving me an older one?,4b30b918bc
What command should I use to get requests 2.32.3 instead of 2.28 for lancedb?,4b30b918bc
Is there a way to force pip to install requests straight from the source tag?,4b30b918bc
Why am I getting a 401 Client Error when trying to use my key in this setup?,4b30b918bc
What should I check if the key seems wrong or access to it hasn’t been granted?,4b30b918bc
